run_folder,algorithm,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260828_105926,nsga2,3.647676483488625,18.22404636614561,5.296174239816021,4.270601557030863e-05,3.0839891193552746e-05,9.713388497960056e-06,5.19280710976019e-05,3.5635083082775828e-06,3.541901654482116e-12,51.230000000000004,105.5,FAIL,20260828_105926,1
nsga2_20260828_105926,nsga2,6.272966629600457,9.693619715492229,13.822066811912656,3.428641157959137e-05,5.250422785899477e-05,4.911539410358523e-06,5.101034719347641e-05,3.583740721448685e-06,2.5534063413595052e-12,81.25,73.78,FAIL,20260828_105926,1
nsga2_20260828_105926,nsga2,3.1062092524234535,16.77298100179959,17.880692120360976,1.896641146742638e-05,7.261114645643987e-05,7.5459566234523e-06,4.4157840076783945e-05,8.629694560520226e-06,9.809207644557905e-12,79.88,105.0,FAIL,20260828_105926,1
nsga2_20260828_105926,nsga2,17.046510367517907,3.581470636945459,17.257528382429616,2.898917333857049e-05,3.878462101637711e-05,5.076544925790443e-06,3.982263413947526e-05,3.331670475235269e-06,9.676070958887376e-12,41.599999999999994,116.3,FAIL,20260828_105926,1
nsga2_20260828_105926,nsga2,19.71820679583796,3.9702589437333273,7.400472652669887,2.891529923284232e-05,7.504904115138555e-05,6.093304287090053e-06,3.834041697577566e-05,1.8774496018941592e-06,9.992739339349294e-12,32.31,140.2,FAIL,20260828_105926,1
nsga2_20260828_105926,nsga2,17.046510367517907,3.5030732252617396,17.257528382429616,2.898917333857049e-05,3.878462101637711e-05,5.076544925790443e-06,3.982263413947526e-05,3.3599271808447524e-06,9.547183360764035e-12,44.65109686507936,111.25083785714286,FAIL,20260828_105926,0
nsga2_20260828_105926,nsga2,19.07901511339822,5.710873658760003,16.740452820216085,8.023844294403324e-06,5.2955301744849034e-05,1.7912362381948128e-06,2.1633865752332587e-05,7.91426088212e-06,5.1199169429088946e-12,38.61,135.9,FAIL,20260828_105926,1
nsga2_20260828_105926,nsga2,19.07901511339822,5.710873658760003,16.740452820216085,8.023844294403324e-06,5.231481671216026e-05,1.338848491928262e-06,2.1633865752332587e-05,7.91426088212e-06,5.1199169429088946e-12,44.190192380952375,111.324965,FAIL,20260828_105926,0
nsga2_20260828_111115,nsga2,6.272966629600457,9.693619715492229,13.822066811912656,3.428641157959137e-05,5.250422785899477e-05,4.911539410358523e-06,5.101034719347641e-05,3.583740721448685e-06,2.5534063413595052e-12,81.25,73.78,FAIL,20260828_111115,1
nsga2_20260828_111115,nsga2,10.47942889641734,17.206271153202927,8.79506504292453,2.898917333857049e-05,3.878462101637711e-05,5.076544925790443e-06,3.982263413947526e-05,6.708111469189365e-07,2.8502072999317668e-12,46.14797666605185,124.19680131408961,FAIL,20260828_111115,0
